date,time,name,vodka,gin,rum,blue curacao,ananas juice,cherry juice,orange juice,bitter lemon,tonic water,herbal lemonade,bitter orange sirup,soda,recipe,
14.12.2023,15:16:31.977,random cocktail,0,0,0,0,2,4,0,0,2,4,"0,5",4,"2.0 cl ananas juice, 4.0 cl cherry juice, 2.0 cl tonic water, 4.0 cl herbal lemonade, 0.50 cl bitter orange sirup, 4.0 cl soda",
14.12.2023,15:18:58.653,random cocktail,0,0,0,0,0,5,0,0,0,0,0,5,"5.0 cl cherry juice, 5.0 cl soda",
14.12.2023,15:35:16.410,Tropical Twirl,0,0,3,0,4,3,2,0,0,0,0,0,"3.0 cl rum, 4.0 cl ananas juice, 3.0 cl cherry juice, 2.0 cl orange juice",
14.12.2023,15:50:17.946,Tropical Dream,0,0,3,0,4,3,2,0,0,0,0,0,"3.0 cl rum, 4.0 cl ananas juice, 3.0 cl cherry juice, 2.0 cl orange juice",
14.12.2023,16:07:33.103,Citrus Bliss,0,"2,5",0,0,0,0,4,3,0,0,0,2,"2.5 cl gin, 4.0 cl orange juice, 3.0 cl bitter lemon, 2.0 cl soda",
14.12.2023,17:55:26.122,Tropical Sunset,0,0,3,0,4,3,2,0,0,0,0,0,"3.0 cl rum, 4.0 cl ananas juice, 3.0 cl cherry juice, 2.0 cl orange juice",
14.12.2023,20:08:32.078,Tropical Sunset,0,0,3,0,4,2,3,0,0,0,0,0,"3.0 cl rum, 4.0 cl ananas juice, 2.0 cl cherry juice, 3.0 cl orange juice",
14.12.2023,20:12:03.113,random cocktail,0,0,0,0,4,0,2,0,4,2,"0,5",2,"4.0 cl ananas juice, 2.0 cl orange juice, 4.0 cl tonic water, 2.0 cl herbal lemonade, 0.50 cl bitter orange sirup, 2.0 cl soda",
14.12.2023,20:23:26.453,Tropical Sunset,0,0,3,0,3,2,4,0,0,0,0,0,"3.0 cl rum, 3.0 cl ananas juice, 2.0 cl cherry juice, 4.0 cl orange juice",
14.12.2023,20:41:07.793,random cocktail,0,0,0,0,0,0,4,0,0,0,0,6,"4.0 cl orange juice, 6.0 cl soda",
14.12.2023,20:41:40.936,random cocktail,0,0,0,0,0,0,0,4,4,2,0,3,"4.0 cl bitter lemon, 4.0 cl tonic water, 2.0 cl herbal lemonade, 3.0 cl soda",
